"काण्डः (आर्षेयपाठः)","विषयः (आर्षेयपाठः)","अनुवाकः (आर्षेयपाठः)","भागः (सारस्वतः)","काण्डः (सारस्वतः)","प्रश्नः (सारस्वतः)","अनुवाकः (सारस्वतः)",""
"1","1","1","1","1","1","1","पौरोडाशिकम्"
"1","1","2","1","1","1","2","पौरोडाशिकम्"
"1","1","3","1","1","1","3","पौरोडाशिकम्"
"1","1","4","1","1","1","4","पौरोडाशिकम्"
"1","1","5","1","1","1","5","पौरोडाशिकम्"
"1","1","6","1","1","1","6","पौरोडाशिकम्"
"1","1","7","1","1","1","7","पौरोडाशिकम्"
"1","1","8","1","1","1","8","पौरोडाशिकम्"
"1","1","9","1","1","1","9","पौरोडाशिकम्"
"1","1","10","1","1","1","10","पौरोडाशिकम्"
"1","1","11","1","1","1","11","पौरोडाशिकम्"
"1","1","12","1","1","1","12","पौरोडाशिकम्"
"1","1","13","1","1","1","13","पौरोडाशिकम्"
"1","2","1","2","3","2","1","पौरोडाशिक-ब्राह्मणम्"
"1","2","2","2","3","2","2","पौरोडाशिक-ब्राह्मणम्"
"1","2","3","2","3","2","3","पौरोडाशिक-ब्राह्मणम्"
"1","2","4","2","3","2","4","पौरोडाशिक-ब्राह्मणम्"
"1","2","5","2","3","2","5","पौरोडाशिक-ब्राह्मणम्"
"1","2","6","2","3","2","6","पौरोडाशिक-ब्राह्मणम्"
"1","2","7","2","3","2","7","पौरोडाशिक-ब्राह्मणम्"
"1","2","8","2","3","2","8","पौरोडाशिक-ब्राह्मणम्"
"1","2","9","2","3","2","9","पौरोडाशिक-ब्राह्मणम्"
"1","2","10","2","3","2","10","पौरोडाशिक-ब्राह्मणम्"
"1","2","11","2","3","3","1","पौरोडाशिक-ब्राह्मणम्"
"1","2","12","2","3","3","2","पौरोडाशिक-ब्राह्मणम्"
"1","2","13","2","3","3","3","पौरोडाशिक-ब्राह्मणम्"
"1","2","14","2","3","3","4","पौरोडाशिक-ब्राह्मणम्"
"1","2","15","2","3","3","5","पौरोडाशिक-ब्राह्मणम्"
"1","2","16","2","3","3","6","पौरोडाशिक-ब्राह्मणम्"
"1","2","17","2","3","3","7","पौरोडाशिक-ब्राह्मणम्"
"1","2","18","2","3","3","8","पौरोडाशिक-ब्राह्मणम्"
"1","2","19","2","3","3","9","पौरोडाशिक-ब्राह्मणम्"
"1","2","20","2","3","3","10","पौरोडाशिक-ब्राह्मणम्"
"1","2","21","2","3","3","11","पौरोडाशिक-ब्राह्मणम्"
"1","2","22","1","2","5","1","पौरोडाशिक-ब्राह्मणम्"
"1","2","23","1","2","5","2","पौरोडाशिक-ब्राह्मणम्"
"1","2","24","1","2","5","3","पौरोडाशिक-ब्राह्मणम्"
"1","2","25","1","2","5","4","पौरोडाशिक-ब्राह्मणम्"
"1","2","26","1","2","5","5","पौरोडाशिक-ब्राह्मणम्"
"1","2","27","1","2","5","6","पौरोडाशिक-ब्राह्मणम्"
"1","2","28","1","2","6","1","पौरोडाशिक-ब्राह्मणम्"
"1","2","29","1","2","6","2","पौरोडाशिक-ब्राह्मणम्"
"1","2","30","1","2","6","3","पौरोडाशिक-ब्राह्मणम्"
"1","2","31","1","2","6","4","पौरोडाशिक-ब्राह्मणम्"
"1","2","32","1","2","6","5","पौरोडाशिक-ब्राह्मणम्"
"1","2","33","1","2","6","6","पौरोडाशिक-ब्राह्मणम्"
"1","2","34","1","2","5","11","पौरोडाशिक-ब्राह्मणम्"
"1","2","35","2","1","3","10","पौरोडाशिक-ब्राह्मणम्"
"1","3","1","1","1","5","10","याजमानम्"
"1","3","2","1","1","6","1","याजमानम्"
"1","3","3","1","1","6","2","याजमानम्"
"1","3","4","1","1","6","3","याजमानम्"
"1","3","5","1","1","6","4","याजमानम्"
"1","3","6","1","1","6","5","याजमानम्"
"1","3","7","1","1","6","6","याजमानम्"
"1","4","1","1","1","6","7","याजमान-ब्राह्मणम्"
"1","4","2","1","1","6","8","याजमान-ब्राह्मणम्"
"1","4","3","1","1","6","9","याजमान-ब्राह्मणम्"
"1","4","4","1","1","6","10","याजमान-ब्राह्मणम्"
"1","4","5","1","1","6","11","याजमान-ब्राह्मणम्"
"1","4","6","1","1","7","1","याजमान-ब्राह्मणम्"
"1","4","7","1","1","7","3","याजमान-ब्राह्मणम्"
"1","4","8","1","1","7","4","याजमान-ब्राह्मणम्"
"1","4","9","1","1","7","5","याजमान-ब्राह्मणम्"
"1","4","10","1","1","7","6","याजमान-ब्राह्मणम्"
"1","5","1","3","3","1","0","होतारः"
"1","5","2","3","3","2","0","होतारः"
"1","5","3","3","3","3","0","होतारः"
"1","5","4","3","3","4","0","होतारः"
"1","5","5","3","3","5","0","होतारः"
"1","5","6","3","3","6","0","होतारः"
"1","5","7","3","3","7","0","होतारः"
"1","5","8","3","3","8","0","होतारः"
"1","5","9","3","3","9","0","होतारः"
"1","5","10","3","3","10","0","होतारः"
"1","5","11","3","3","11","0","होतारः"
"1","5","12","3","3","12","0","होतारः"
"1","5","13","3","3","13","0","होतारः"
"1","6","1","2","2","2","1","होतृ-ब्राह्मणम्"
"1","6","2","2","2","2","2","होतृ-ब्राह्मणम्"
"1","6","3","2","2","2","3","होतृ-ब्राह्मणम्"
